ICAO Code,Classification,Category,Wing Span(m),Length(m),Height(m),MTOW(t),Fuel Capacity(ltr),Maximum Range(Nm),Persons On Board,Take Off Distance(m),Landing Distance(m),Absolute Ceiling(x100ft),Optimum Ceiling(x100ft),Maximum Speed(kts / M),Optimum Speed(kts / M),Maximum Climb Rate(ft / min),List of Manufacturers
GLST,L1P,L/G,10.6,6.8,2.7,1,110,550,2,70,91,240,160,,135,2000,"['GLASAIR GlaStar', 'GLASAIR Sportsman 2+2', 'NEW GLASTAR GlaStar', 'STODDARD-HAMILTON SH-4 GlaStar']"
GLTU,L1T,L/G,8.6,7.6,2.8,1.5,370,1000,2,180,300,240,,284,260,6500,['STODDARD-HAMILTON Turbine Glasair']
GM01,L1P,L/G,9.5,6.7,2.5,0.9,100,,1,,80,150,,130,115,1200,['YALO GM-01 Gniady']
GM17,L1T,L/G,13,10.6,4,3.3,820,670,8,500,,250,180,232,221,1400,['INTRACOM GM-17 Viper']
GMGC,L1T,L/G,17.2,12.7,4.4,1,114,,4,425,300,120,100,110,,,['IBIS (2) Grand Magic']
GNAT,L1J,L/G,6.7,9,2.7,4.1,800,435,1,,,510,,620,540,20000,"['FOLLAND Fo-144 Gnat', 'HAWKER SIDDELEY Gnat']"
GOBU,G1P,L/G,-,5.7,3.3,,60,,2,,,120,80,,,1500,['BUTTERFLY Golden Butterfly']
GOLF,L1P,L/G,8.4,6.4,2.3,0.6,70,400,2,180,,150,100,130,116,1180,['TECNAM P-96 Golf']
GOOS,A1P,L/G,8.2,5.9,2.2,0.8,250,800,2,280,,130,100,122,117,1500,['QUIKKIT Glass Goose']
GOTR,L1P,L/G,8.7,7.1,2.2,0.6,130,,2,370,200,140,100,115,,750,['GOAIR GT-1 Trainer']
GP1,L1P,L/G,10.2,6.2,2.1,0.5,105,740,2,185,200,,,116,104,,"['JIHLAVAN Skyleader GP One', 'ZALL JIHLAVAN Skyleader GP One']"
GP3,A1P,L/G,7.9,6.4,1.6,0.7,120,450,2,125,210,200,,130,113,1200,"['OSPREY GP-3 Osprey 2', 'PEREIRA GP-3 Osprey 2']"
GP4,L1P,L/G,7.5,6.5,1.6,0.9,200,1100,2,190,370,,,221,208,2500,"['OSPREY GP-4', 'PEREIRA GP-4']"
GPRO,L1P,L/G,7.5,6.9,2.5,0.6,,,1,,,,,228,205,,['GENEVATION GenPro']
GR51,L1T,L/G,11.2,10.9,3.3,3.8,1100,1000,2,380,530,300,,391,325,4200,"['CAMERON P-51G Grand 51', 'EXCLUSIVE P-51G Grand 51']"
GRAF,L1P,L/G,7.6,7,,,,,2,,,,,156,,,['LUNDY Graflite']
GRFN,L1P,L/G,10.2,7.1,3.1,0.8,80,,2,100,,140,,112,93,1180,['GRIFFON AERO Griffon']
GRIF,L1P,L/G,10.8,6.2,2.4,0.8,130,560,2,110,180,,120,,114,1200,['CANADA AIR RV Griffin']
GRIZ,L1T,L/G,14.1,,,2.2,680,600,7,450,,,,165,140,1200,['AEROTEK (3) Turbo Grizzly']
GSIS,L1P,L/G,9.3,5.9,1.9,0.6,75,250,2,130,120,,100,104,65,1000,"['INNOVATION Genesis', 'INNOVATION Genesis Revelation', 'SLIPSTREAM Genesis', 'SLIPSTREAM Revelation', 'SLIPSTREAM Ultra Sport']"
GSPN,L2J,L/G,14.9,14.8,5.1,6.3,,1200,9,1000,900,410,350,407,260,1260,['GROB G-180 SPn Utility Jet']
GUEP,L1P,L/G,9.6,,,0.5,65,,2,300,200,140,100,110,90,980,"['AERO SERVICES Guepard', 'AERO SERVICES Guepy', 'AERO SERVICES Super Guepard']"
GURI,L1P,L/G,10.5,8,2.6,0.9,90,780,2,220,,175,140,135,108,700,['AEROMOT AMT-600 Guri']
GX,L1P,L/G,9.3,6.5,2.2,0.6,80,745,,220,230,150,120,137,130,1050,"['REMOS GX', 'STEMME Remos GX']"
GY10,L1P,L/G,8.2,5.9,2,1,,600,4,,,230,,126,110,,['GARDAN GY-100 Bagheera']
GY20,L1P,L/G,8.1,5.4,,0.6,20,,2,380,420,150,120,96,89,,"['CAB GY-20 Minicab', 'MARANDA BM-4']"
GY30,L1P,L/G,8.1,5.4,1.7,0.7,60,450,2,,,170,130,115,,,['CAB GY-30 Supercab']
GY80,L1P,L/G,9.7,6.6,2.6,1.1,160,480,4,580,,145,120,130,126,690,"['GARDAN GY-80 Horizon', 'SOCATA GY-80 Horizon', 'SUD GY-80 Horizon']"
GYRO,-,-/,,,,,,,,,,,,,,,"['(any manufacturer) Microlight autogyro', '(any manufacturer) Ultralight autogyro']"
H111,L2P,M/G,22.6,16.4,4,13.3,,1200,5,,,260,,234,,,"['CASA 2-111', 'HEINKEL He-111']"
H12T,H1T,L/G,-,8.7,3,1.5,174,365,,,,160,70,83,78,760,"['HILLER UH-12E3T', 'HILLER UH-12E4T', 'HILLER UH-12ET', 'SOLOY Hiller UH-12']"
H160,H2T,L/G,-,14,4,6,1120,475,2+12,,,200,95,175,138,1750,['AIRBUS HELICOPTERS H-160']
H2,H2T,L/G,-,11.6,4.7,5.8,,320,3,,,225,80,143,,2440,"['KAMAN K-20 Seasprite', 'KAMAN K-894 Super Seasprite', 'KAMAN SH-2 Seasprite', 'KAMAN SH-2 Super Seasprite']"
H202,L1P,L/G,10,,,,,,2,,,140,100,,110,,['HB-AIRCRAFT HB-202 Fledger']
H204,L1P,L/G,7.7,6.6,2.5,0.8,100,860,2,390,,,,215,189,2360,['HB-FLUGTECHNIK HB-204 Tornado']
H207,L1P,L/G,9,5.9,1.9,0.7,100,650,2,180,150,140,,166,130,1000,['HB-FLUGTECHNIK HB-207 Alfa']
H21,H1P,L/G,-,26.3,4.7,6.6,,320,22,,,80,,114,,,"['VERTOL 42 Work Horse', 'VERTOL CH-21 Work horse']"
H25A,L2J,M/G,14.3,14.4,5.2,10.2,4660,1680,2+7,1130,700,390,310,440,427,2500,"['HAWKER SIDDELEY HS-125-1', 'HAWKER SIDDELEY HS-125-3', 'HAWKER SIDDELEY HS-125-400', 'HAWKER SIDDELEY HS-125-600']"
H25B,L2J,M/G,15.6,15.5,5.3,11.2,5700,2420,11,1700,1200,410,310,463,431,3000,"['BRITISH AEROSPACE BAe-125-700', 'BRITISH AEROSPACE BAe-125-800', 'BRITISH AEROSPACE C-29', 'BRITISH AEROSPACE U-125', 'HAWKER BEECHCRAFT Hawker 750', 'HAWKER BEECHCRAFT Hawker 850', 'HAWKER BEECHCRAFT Hawker 900', 'HAWKER BEECHCRAFT Hawker 800', 'HAWKER SIDDELEY HS-125-700', 'RAYTHEON Hawker 800', 'RAYTHEON Hawker 850', 'RAYTHEON U-125', 'RAYTHEON IU-93']"
H25C,L2J,M/G,15.6,16.4,5.2,14,,3100,8-15,1900,900,430,330,468,414,3000,"['BRITISH AEROSPACE BAe-125-1000', 'RAYTHEON Hawker 1000']"
H269,H1P,L/G,-,6.8,2.6,0.9,,160,3,,,140,80,82,67,750,"['BREDANARDI NH-300', 'HUGHES 200', 'HUGHES 269', 'HUGHES 269 Sky Knight', 'HUGHES 280', 'HUGHES 300', 'HUGHES 300 Sky Knight', 'HUGHES Hkp5', 'HUGHES TH-55 Osage', 'HUGHES TH-300', 'KAWASAKI TH-55', 'NARDI NH-300', 'SCHWEIZER 269', 'SCHWEIZER 269A', 'SCHWEIZER 269B', 'SCHWEIZER 269C', 'SCHWEIZER 269C Sky Knight', 'SCHWEIZER 300', 'SCHWEIZER 300 Sky Knight', 'SCHWEIZER Hkp5', 'SCHWEIZER TH-55 Osage', 'SCHWEIZER TH-300', 'SHANGHAI SIKORSKY Shen 2', 'SHANGHAI SIKORSKY Shen 3', 'SIKORSKY S-300']"
