ICAO Code,Classification,Category,Wing Span(m),Length(m),Height(m),MTOW(t),Fuel Capacity(ltr),Maximum Range(Nm),Persons On Board,Take Off Distance(m),Landing Distance(m),Absolute Ceiling(x100ft),Optimum Ceiling(x100ft),Maximum Speed(kts / M),Optimum Speed(kts / M),Maximum Climb Rate(ft / min),List of Manufacturers
A002,G1P,L/G,-,5.9,3.3,0.9,,270,3,90,10,100,80,113,,1100,['IRKUT A-002']
A1,L1P,M/G,15.4,11.8,4.7,11.3,3150,2500,1,600,,310,215,280,163,3700,"['DOUGLAS AD Skyraider', 'DOUGLAS EA-1 Skyraider']"
A10,L2J,M/F,17.5,16.3,4.5,23.1,4850,2300,1,1200,610,450,410,423,310,6000,"['FAIRCHILD (1) A-10 Thunderbolt 2', 'FAIRCHILD (1) OA-10 Thunderbolt 2']"
A109,H2T,L/G,-,10.7,3.3,2.8,750,360,8,,,200,120,156,126,2100,"['AGUSTA AW-109 Da Vinci', 'AGUSTA A-109', 'AGUSTA A-109 Grand', 'AGUSTA A-109 Power', 'AGUSTA Hkp15', 'AGUSTA MH-68 Stingray', 'AGUSTA AW-109', 'AGUSTA AW-109 GrandNew', 'AGUSTA AW-109 Power', 'AGUSTA AW-109 Grand', 'AGUSTA A-109 Nexus', 'AGUSTA AW-109 Nexus', 'AGUSTA AW-109 Trekker', 'AGUSTA ESC-2', 'AGUSTAWESTLAND AW-109 Power', 'AGUSTAWESTLAND AW-109 GrandNew', 'AGUSTAWESTLAND AW-109', 'AGUSTAWESTLAND AW-109 Grand', 'DENEL A-109', 'FINMECCANICA AW-109 Power', 'FINMECCANICA AW-109 GrandNew', 'JIANGXI CHANGHE-AGUSTA CA-109 Power', 'LEONARDO AW-109 GrandNew', 'LEONARDO AW-109 Trekker', 'SABCA A-109']"
A119,H1T,L/G,-,11.1,3.7,2.8,870,350,9,,,185,110,140,135,1200,"['AGUSTA A-119 Koala', 'AGUSTA AW-119 Koala', 'AGUSTAWESTLAND AW-119 Koala', 'DENEL A-119 Koala', 'FINMECCANICA AW-119 Koala', 'LEONARDO AW-119 Koala']"
A122,L1P,L/G,8.5,6.6,2.7,0.9,,430,2,,,150,120,122,100,780,"['AEROTEC (1) A-122 Uirapuru', 'AEROTEC (1) T-23 Uirapuru']"
A124,L4J,H/B,73.3,69.1,21,405,348700,8900,88,3000,900,400,330,465,450 / .68,1300,['ANTONOV An-124 Ruslan']
A129,H2T,L/G,-,12.3,2.7,4.5,1000,325,2,,,160,155,139,129,2150,"['AGUSTA A-129 Mangusta', 'AGUSTA AW-129', 'AGUSTA T-129', 'AGUSTAWESTLAND AW-129', 'TAI T-129']"
A139,H2T,L/G,-,16.6,4.9,6,750,400,15,,,120,100,160,151,1200,"['AGUSTA AW-139', 'AGUSTA UH-139', 'AGUSTAWESTLAND AW-139', 'AGUSTAWESTLAND HH-139', 'AGUSTAWESTLAND VH-139', 'AGUSTAWESTLAND UH-139', 'BELL-AGUSTA AB-139', 'BOEING-LEONARDO MH-139 Grey Wolf', 'FINMECCANICA AW-139', 'HELIVERT AW-139', 'LEONARDO AW-139', 'LEONARDO MH-139 Grey Wolf']"
A140,L2T,M/F,24.5,22.6,8.2,21.5,5850,1600,54,1495,,250,220,290,243,1500,"['ANTONOV An-140', 'HESA IRAN-140 Faraz']"
A148,L2J,M/E,28.9,29.1,8.2,39.5,12100,3000,80,1800,2100,470,410,,440,,['ANTONOV An-148']
A149,H2T,M/G,-,14.6,5.1,8.1,,,2+18,,,,60,150,,,"['AGUSTA AW-149', 'AGUSTAWESTLAND AW-149', 'LEONARDO AW-149']"
A158,L2J,M/Z,28.9,34.4,8.6,43.7,,1350,99,1900,2000,400,370,470,430,,['ANTONOV An-158']
A16,L1P,L/G,8.8,8.2,,0.7,,390,2,150,,130,100,119,105,1000,['AVIADESIGN A-16 Sport Falcon']
A169,H2T,L/G,-,14.6,4.5,,,,12,,,,,140,100,,"['AGUSTAWESTLAND AW-169', 'FINMECCANICA AW-169', 'LEONARDO AW-169']"
A178,L2J,M/E,30.5,32.2,9.6,52.4,14650,2500,4+90,,,430,,530,445 / .81,,['ANTONOV An-178']
A189,H2T,M/G,-,17.6,5,8,2068,240,20,,,,,,145,,"['AGUSTAWESTLAND AW-189', 'FINMECCANICA AW-189', 'LEONARDO AW-189']"
A19,L1P,L/G,10.6,6.5,2.5,0.7,60,,2,100,,,,81,65,500,['AEROPRACT A-19']
A19N,L2J,M/D,35.8,33.8,11.7,75.5,26730,3700,180,1900,1500,390,330,473 / .82,450 / 0.78,2500,"['AIRBUS A-319neo', 'AIRBUS ACJ-319neo']"
A20,L2P,M/G,18.7,14.6,4.8,12.3,,550,3,,,270,240,300,250,1300,['DOUGLAS A-20 Havoc']
A205,G1P,L/G,-,9,2.8,0.5,22,,1,50,30,140,120,100,80,530,['OSKBES-MAI MAI-205']
A20J,L1J,L/G,15,6.8,1.1,0.5,,,2,,,,,,,,['SCHLEICHER ASW-20J']
A20N,L2J,M/D,35.8,37.5,11.7,79,26730,3500,164,1950,1650,390,,473 / .82,450 / 0.78,2200,"['AIRBUS A-320neo', 'AIRBUS ACJ-320neo']"
A21,L1P,L/G,6.6,4.7,1.8,0.3,22,200,1,100,,140,,102,81,1000,['AEROPRACT A-21 Solo']
A210,L1P,L/G,10.3,7.3,2.3,0.7,120,700,2,470,500,150,130,164,129,1200,"['AQUILA AT-01', 'AQUILA A-210', 'AQUILA A-211', 'AQUILA A-212']"
A211,L1P,L/G,10.6,8,2.8,0.7,114,400,2,150,,,80,113,75,1000,['ALFA-M A-211']
A21N,L2J,M/D,35.8,44.5,11.7,97,32940,4000,188,2150,1850,390,,473 / .82,450 / 0.78,2000,['AIRBUS A-321neo']
A22,L1P,L/G,6.7,5.1,1.1,1.2,200,690,1,243,290,,160,246,,4000,['SADLER A-22 Piranha']
A223,L1P,L/G,8.2,6,,0.6,70,400,2,150,100,230,210,110,,1100,['OSKBES-MAI MAI-223 Kityonok']
A225,L6J,H/Z,88.4,84,18.1,600,300000,2400,1500,3500,,330,270,528,458 / .78,1900,['ANTONOV An-225 Mriya']
A23,L1P,L/G,9.8,7.5,2.4,0.6,75,380,2,,,150,130,97,70,,['AEROPRACT A-23 Dragon']
A25,A1P,L/G,10.6,7.9,2.5,1.2,195,600,4,420,,140,120,111,93,980,['AEROPRACT A-25 Breeze']
A251,A2P,L/G,13.2,10.5,3.6,2.2,500,400,6,550,,140,100,130,110,790,['AVIATIK-ALYANS Aleks-251']
A27,L1P,L/G,10.6,6.3,2.4,0.6,80,600,2,,,140,120,111,,,"['AEROPRACT A-27', 'AVANTAGE A-27']"
A270,L1T,L/G,13.8,12.2,4.7,3.3,1100,1230,10,531,878,300,195,220,,1600,"['AERO (2) Ae-270 Propjet', 'IBIS (1) Ae-270 Propjet']"
A29,L1P,L/G,10.1,6.6,3,0.8,,,2,80,90,120,100,,,1000,['AVANTAGE A-29']
A2RT,H2T,L/G,-,11.2,3.5,,,350,6,,,200,,160,,,['KAZAN Ansat 2RT']
A3,L2J,M/F,22.1,23.3,7.1,38.4,16700,2500,3,,,430,370,610,490,5000,"['DOUGLAS A-3 Skywarrior', 'DOUGLAS ERA-3 Skywarrior', 'DOUGLAS NRA-3 Skywarrior', 'DOUGLAS TA-3 Skywarrior']"
A306,L2J,H/C,44.8,54,16.6,165,75000,3700,200-360,2700,1536,410,330,484 / .82,470 / .79,3200,"['AIRBUS A-300B4-600', 'AIRBUS A-300C4-600', 'AIRBUS A-300F4-600']"
A30B,L2J,H/C,44.8,53.6,16.5,165,,3400,200-360,2800,1600,410,350,495 / .84,470 / .79,3200,"['AIRBUS A-300B2', 'AIRBUS A-300B2-1', 'AIRBUS A-300B2-100', 'AIRBUS A-300B2-200', 'AIRBUS A-300B2K-3', 'AIRBUS A-300B4-2', 'AIRBUS A-300B4-100', 'AIRBUS A-300B4-200', 'AIRBUS A-300C4-200', 'AIRBUS A-300F4-200']"
A31,L1P,L/G,13.6,7.9,2.7,1.4,,,1,90,120,150,130,,,,['AVANTAGE A-31 Spectrum']
A310,L2J,H/C,43.9,46.6,15.8,164,48000,5100,191-279,2290,1490,410,350,484 / .82,458,3000,"['AIRBUS A-310', 'AIRBUS CC-150 Polaris']"
A318,L2J,M/D,34.1,31.4,12.5,66,23800,2000,80-100,1700,1400,390,350,484 / .82,470,3500,"['AIRBUS A-318', 'AIRBUS A-318 Elite']"
A319,L2J,M/D,34.1,33.8,11.7,64,23800,3550,124-142,1800,1400,390,350,487 / .83,454,3500,"['AIRBUS A-319', 'AIRBUS A-319 ACJ', 'AIRBUS VC-1 ACJ']"
A320,L2J,M/D,34.1,37.5,11.7,75,23800,3000,150-179,1900,1400,390,350,487 / .83,454,3500,"['AIRBUS A-320', 'AIRBUS A-320 Prestige']"
A321,L2J,M/D,34.1,44.5,11.8,89,26600,2400,185-212,,1500,430,350,488 / .83,447,3500,['AIRBUS A-321']
A32E,L1E,L/G,20,9,1.7,0.9,-,54,2,,,,,146,,256,['SCHLEICHER ASG-32EL']
A32P,L1P,L/G,20,9,1.7,0.9,14,,2,,,,,,,,['SCHLEICHER ASG-32Mi']
A33,L1P,L/G,9.5,6.6,2.6,0.8,130,800,2,,,140,120,,108,1200,['AEROPRACT A-33']
A332,L2J,H/B,60.3,58.3,16.8,233,139000,6400,253-380,2600,1200,410,350,475 / .80,465,3500,"['AIRBUS A-330-200', 'AIRBUS A-330-200 Prestige', 'AIRBUS KC-30', 'AIRBUS A-330-200 Voyager']"
A333,L2J,H/B,60.3,63.6,16.7,212,97500,5500,260-412,2800,1300,410,350,475 / .80,464,3500,['AIRBUS A-330-300']
A337,L2J,H/B,60.3,63.1,18.9,227,73000,2300,4,,,,350,,398 / .69,,['AIRBUS A-330-700 Beluga XL']
A338,L2J,H/B,64,58.8,17.3,251,139090,8150,220-260,,,410,,496 / 86,,,"['AIRBUS A-330-800', 'AIRBUS ACJ-330-800']"
A339,L2J,H/B,64,63.6,16.7,251,139090,7200,260-300,,,410,,496 / 86,,,"['AIRBUS A-330-900', 'AIRBUS ACJ-330-900']"
A33E,L1E,L/G,18,,,0.6,-,,1,,,,,,,,['SCHLEICHER AS-33Me']
A33P,L1P,L/G,18,,,0.6,,,1,,,,,,,,['SCHLEICHER AS-33Es']
A342,L4J,H/B,60.3,59.4,16.7,260,155000,7400,228-360,2800,1200,410,350,494 / .84,475,3500,"['AIRBUS A-340-200', 'AIRBUS A-340-200 Prestige']"
A343,L4J,H/B,60.3,63.6,16.7,275,141500,6700,260-335,3000,1200,410,350,494 / .84,475,3500,"['AIRBUS A-340-300', 'AIRBUS A-340-300 Prestige']"
A345,L4J,H/B,63.6,67.8,17.9,365,213000,8500,313-490,3000,2100,410,350,490 / .83,450,3500,"['AIRBUS A-340-500', 'AIRBUS A-340-500 Prestige']"
A346,L4J,H/B,63.6,75.3,17.9,365,195000,7500,378-550,3200,2300,410,350,490 / .83,450,3500,"['AIRBUS A-340-600', 'AIRBUS A-340-600 Prestige']"
A34E,L1E,L/G,18,,,0.6,-,67,1,390,,72,,,,492,['SCHLEICHER AS-34Me']
A35,L1P,L/G,10.2,6.7,3,0.8,,480,2,80,90,120,100,,,1200,['AVANTAGE A-35 Scanner']
A359,L2J,H/B,64.7,66.8,17,268,,7590,235-440,,,410,350,520 / .89,500 / .85,,"['AIRBUS A-350-900 XWB', 'AIRBUS A-350-900 XWB Prestige', 'AIRBUS ACJ-350-900']"
A35K,L2J,H/B,64.8,66.9,16.9,265,138000,8100,314-366,890,,410,350,520 / .89,500 / .85,3000,"['AIRBUS A-350-1000 XWB', 'AIRBUS A-350-1000 XWB Prestige', 'AIRBUS ACJ-350-1000']"
A37,L2J,L/G,11.6,9.6,2.8,6,2100,810,2,1180,1060,410,350,415 / .70,265,3370,"['CESSNA 318D Dragonfly', 'CESSNA 318E Dragonfly', 'CESSNA A-37 Dragonfly', 'CESSNA OA-37 Dragonfly']"
A388,L4J,J/A,79.8,72.7,24.1,560,325000,7800,555,3000,,430,350,595,,,"['AIRBUS A-380-800', 'AIRBUS A-380-800 Prestige']"
A3ST,L2J,H/C,44.8,56.1,17.2,150,55000,2160,10,1950,1170,350,270,420 / .63,400,1300,"['AIRBUS A-300ST Beluga', 'AIRBUS A-300ST Super Transporter', 'SATIC A-300ST Beluga', 'SATIC A-300ST Super Transporter']"
A4,L1J,M/G,8.3,13,4.6,11.1,6800,690,2,230,400,490,390,586 / .94,425,10300,"['DOUGLAS A-4 Skyhawk', 'DOUGLAS TA-4 Skyhawk', 'MCDONNELL DOUGLAS A-4 Skyhawk', 'MCDONNELL DOUGLAS OA-4 Skyhawk', 'MCDONNELL DOUGLAS TA-4 Skyhawk', 'SINGAPORE A-4 Super Skyhawk', 'SINGAPORE TA-4 Super Skyhawk']"
A400,L4T,H/C,42.4,43.8,14.6,130,46700,,3+120,940,625,400,290,/ 0.72,/ .68,,"['AIRBUS A-400M Grizzly', 'AIRBUS A-400M Atlas']"
A411,L2P,L/G,12.2,7.2,1.4,1.2,,810,1+3,400,,100,,165,,1180,['OSKBES-MAI MAI-411']
A5,A1P,L/G,10.3,6.7,2.2,0.5,76,300,2,220,,,,105,,,['ICON A-5']
A50,L4J,H/C,50.5,46.5,14.7,190,109500,3940,15,2300,1500,450,330,458,430,1970,"['BERIEV A-50', 'BERIEV Be-976', 'ILYUSHIN A-50', 'ILYUSHIN Be-976']"
A500,L2P,L/G,13.4,11.1,2.9,2.8,500,1100,6,,,250,220,,,1800,"['ADAM (2) A-500', 'ADAM (2) A-500 CarbonAero']"
A504,L1P,L/G,11,9,3.1,0.8,,215,2,,,160,135,82,67,,['AVRO 504 Replica']
A6,L2J,M/F,16.1,16.6,4.9,29.4,13500,2080,2,1390,780,420,330,560,412,7620,"['GRUMMAN A-6 Intruder', 'GRUMMAN EA-6 Prowler', 'GRUMMAN G-128 Intruder', 'GRUMMAN G-128 Prowler', 'GRUMMAN KA-6 Intruder']"
A600,H1P,L/G,-,6.7,2.6,0.7,64,200,2,,,100,,,87,1000,['ROTORWAY A-600 Talon']
A660,L1T,L/G,16.4,10.9,3.1,5.6,870,520,1,500,200,140,100,191,152,1250,"['AYRES S-2R-T660 Turbo Thrush', 'THRUSH S-2R-660 Turbo Thrush 660']"
A700,L2J,L/G,13.4,12.3,2.9,2.4,,1100,6,900,,420,380,410,340,,['ADAM (2) A-700 AdamJet']
A743,L2J,M/E,31.9,28,8.6,37.5,,800,68,1900,,410,330,405,391,,['ANTONOV An-74-300']
A748,L2T,M/E,30,20.4,7.5,21,6550,1600,35-58,1030,620,250,220,,244,1450,"['AIL 748', 'AVRO 748', 'AVRO C-91', 'BRITISH AEROSPACE BAe-748', 'HAWKER SIDDELEY C-91', 'HAWKER SIDDELEY HS-748', 'HAWKER SIDDELEY HS-748 Andover', 'HAWKER SIDDELEY HS-780 Andover', 'HINDUSTAN 748', 'KANPUR 748']"
A890,L1P,L/G,8.1,5.3,2.2,0.4,40,180,2,90,85,120,100,62,53,1100,"['AVIATIKA MAI-890', 'OSKBES-MAI MAI-890']"
A9,L1P,L/G,10.9,7,2.2,1.5,90,300,1,,,155,130,,86,,"['AAMSA A-9 Quail', 'AERO COMMANDER A-9 Ag Commander', 'AIRCRAFT PARTS A-9 Quail', 'IMCO Callair A-9', 'NORTH AMERICAN ROCKWELL A-9 Quail Commander', 'NORTH AMERICAN ROCKWELL A-9 Sparrow Commander']"
A900,L1P,L/G,7.1,5.7,3,0.7,,,1,,,160,100,202,,4530,"['AVIATIKA MAI-900 Acrobat', 'OSKBES-MAI MAI-900 Acrobat']"
A910,L1P,L/G,10.7,5.2,2.4,0.7,50,210,4,300,,100,80,81,54,690,"['AVIATIKA MAI-910', 'AVIATIKA MAI-960', 'OSKBES-MAI MAI-910 Interfly', 'OSKBES-MAI MAI-960 Interfly']"
AA1,L1P,L/G,7.4,5.8,2.3,0.7,90,380,2,500,400,140,100,120,108,850,"['AMERICAN AA-1 Tr2', 'AMERICAN AA-1 Trainer', 'AMERICAN AA-1 Yankee', 'GRUMMAN AMERICAN AA-1 Lynx', 'GRUMMAN AMERICAN AA-1 T-Cat', 'GRUMMAN AMERICAN AA-1 Tr2', 'GRUMMAN AMERICAN AA-1 Trainer', 'GULFSTREAM AMERICAN AA-1 Lynx', 'GULFSTREAM AMERICAN AA-1 T-Cat']"
AA37,L2P,L/G,12,7.2,3.7,1.4,260,900,1+3,,,120,,130,118,,['AEROPRACT A-37']
AA5,L1P,L/G,9.6,6.7,2.4,1,140,500,4,490,340,125,85,137,128,660,"['AMERICAN AA-5 Traveler', 'AMERICAN GENERAL AG-5 Tiger', 'GRUMMAN AMERICAN AA-5 Cheetah', 'GRUMMAN AMERICAN AA-5 Tiger', 'GRUMMAN AMERICAN AA-5 Traveler', 'GULFSTREAM AMERICAN AA-5 Cheetah', 'GULFSTREAM AMERICAN AA-5 Tiger', 'TIGER AG-5 Tiger']"
AAT3,L1P,L/G,7.5,5.8,2.2,0.6,70,430,2,440,,125,80,116,108,730,['AERO (3) AT-3']
AAT4,L1P,L/G,8.3,6.2,2.2,0.6,70,360,2,442,430,130,90,129,110,850,"['AERO (3) AT-4', 'GOBOSH G-700']"
AB11,L1P,L/G,10.4,6.9,2.1,0.8,120,660,3,250,,220,170,,78,670,['AERO BOERO AB-115']
AB15,L1P,L/G,10.9,7,2.1,0.8,,430,2,,,220,170,113,102,980,['AERO BOERO AB-150']
AB18,L1P,L/G,10.7,7,2,0.9,200,630,3,190,160,220,170,122,108,800,['AERO BOERO AB-180']
AB95,L1P,L/G,10.4,6.9,2.1,0.7,110,490,3,150,,170,140,,92,1000,['AERO BOERO AB-95']
AC10,G1P,L/G,-,5.2,2.6,0.5,50,,2,,,,,120,100,,['FD-COMPOSITES ArrowCopter']
AC11,L1P,L/G,10,7.6,2.5,1.5,270,780,4,650,400,170,140,165,156,1000,"['COMMANDER Commander 114', 'COMMANDER Commander 115', 'NORTH AMERICAN ROCKWELL 112 Commander 112', 'ROCKWELL 112 Alpine Commander', 'ROCKWELL 112 Commander 112', 'ROCKWELL 114 Commander 114', 'ROCKWELL 114 Gran Turismo Commander']"
AC31,H1T,L/G,-,13,3.3,2.2,,410,2+4,,,150,,157,126,1680,['AVICOPTER AC-311']
AC33,H3T,M/G,-,23,6.6,13.8,3800,550,2+28,,,100,,135,,1300,['AVICOPTER AC-313']
AC4,L1P,L/G,9.6,6.9,2.6,0.6,100,670,2,90,,150,130,113,,1180,['LIGHT WING AC-4']
AC50,L2P,L/G,14.9,11.2,4.4,3,650,1030,6,590,690,190,150,187,176,1340,"['AERO (1) Commander 500', 'AERO COMMANDER 500 Commander 500', 'NORTH AMERICAN ROCKWELL 500 Commander 500', 'NORTH AMERICAN ROCKWELL 500 Shrike Commander', 'ROCKWELL 500 Shrike Commander']"
AC52,L2P,L/G,13.4,10.4,4.2,2.5,530,990,7,340,320,240,210,171,,1340,['AERO (1) Commander 520']
AC56,L2P,L/G,15.1,10.7,4.2,3.4,840,1510,9,390,430,210,170,198,,1400,"['AERO (1) Commander 560', 'AERO (1) L-26B Commander 560', 'AERO (1) U-4A Commander 560', 'AERO COMMANDER 560 Commander 560']"
AC5A,L1P,L/G,10.2,8.1,3,1.5,,430,5,350,300,180,150,156,135,,['NANJING AC-500 Aircar']
AC5M,L1P,L/G,12.6,5.3,1.3,0.3,40,,1,280,110,150,130,120,,490,['AVIASTROITEL AC-5M']
AC68,L2P,L/G,13.4,10.6,4.4,4,820,,6,457,490,240,210,,182,1370,"['AERO (1) Commander 680 Super', 'AERO (1) Commander 680E', 'AERO (1) Commander 680F', 'AERO (1) L-26C Commander 680 Super', 'AERO (1) U-4B Commander 680 Super', 'AERO (1) U-9 Commander 680 Super', 'AERO COMMANDER 680F Commander 680F', 'AERO COMMANDER 680FP Commander 680FP']"
AC6L,L2P,L/G,15.1,12.5,4.4,4.1,820,1100,9,816,627,280,250,214,191,1250,"['AERO COMMANDER 680FL Grand Commander', 'NORTH AMERICAN ROCKWELL 680FL Courser Commander', 'NORTH AMERICAN ROCKWELL 680FL Grand Commander', 'NORTH AMERICAN ROCKWELL 685 Commander 685', 'ROCKWELL 685 Commander 685']"
AC72,L2P,L/G,14.9,10.6,4.4,3.4,820,,7,495,528,280,250,,191,1300,['AERO (1) Commander 720 Alti Cruiser']
AC80,L2T,L/G,15,13.5,4.6,5,820,,6,,,330,270,,260,2000,"['AERO COMMANDER 680T Turbo Commander', 'AERO COMMANDER 680V Turbo Commander', 'NORTH AMERICAN ROCKWELL 680V Turbo Commander', 'NORTH AMERICAN ROCKWELL 680W Turbo 2 Commander', 'NORTH AMERICAN ROCKWELL 681 Hawk Commander']"
AC90,L2T,L/G,14.2,13.5,4.5,4.6,,740,8,690,640,290,250,285,251,2500,"['GULFSTREAM AEROSPACE 690 Jetprop Commander 840', 'GULFSTREAM AEROSPACE 690 Jetprop Commander 900', 'GULFSTREAM AMERICAN 690 Jetprop Commander 840', 'GULFSTREAM AMERICAN 690 Jetprop Commander 900', 'NORTH AMERICAN ROCKWELL 690 Turbo Commander 690', 'ROCKWELL 690 Jetprop Commander 840', 'ROCKWELL 690 Turbo Commander 690']"
AC95,L2T,L/G,15.8,13.1,4.5,5,,1310,10,500,,350,310,308,256,2500,"['GULFSTREAM AEROSPACE 695 Jetprop Commander 980', 'GULFSTREAM AEROSPACE 695 Jetprop Commander 1000', 'GULFSTREAM AMERICAN 695 Jetprop Commander 980', 'GULFSTREAM AMERICAN 695 Jetprop Commander 1000', 'ROCKWELL 695 Jetprop Commander 980', 'ROCKWELL 695 Jetprop Commander 1000']"
ACAM,L2P,L/G,10.9,8.2,2.5,0.8,100,250,2,52,61,180,150,86,69,1200,"['LEZA Air Cam', 'LEZA-LOCKWOOD Air Cam', 'LOCKWOOD Air Cam']"
ACAR,L1P,L/G,10.9,7.1,2.3,,,500,1,,,130,100,110,,710,"['AUSTER J-5B Autocar', 'AUSTER J-5E Autocar', 'AUSTER J-5G Autocar', 'AUSTER J-5H Autocar', 'AUSTER J-5P Autocar', 'AUSTER J-5T Autocar', 'AUSTER J-5V Autocar']"
ACED,L1P,L/G,9.9,6.3,2,0.6,53,220,,213,,130,100,85,72,350,['POWELL P-70 Acey Deucy']
ACJR,A1P,L/G,10,7,2.4,0.9,204,456,2,,,,,104,95,700,['SPENCER Air Car Junior']
ACPL,L1P,L/G,8.1,5.8,1.6,0.5,121,833,1,,,,,170,153,800,['OPTION AIR Acapella']
ACR2,L1P,L/G,6.6,5.7,2,0.8,100,250,,110,240,,210,132,105,1200,"['ACRO SPORT Acro-Sport 2', 'EAA Acro-Sport 2']"
ACRD,L2P,L/G,13.7,8.1,3.6,2.2,750,1500,7,260,330,200,160,145,107,1460,['AVIA (3) Accord']
ACRO,L1P,L/G,6,5.1,1.8,0.7,75,300,1,110,240,250,210,132,113,1200,"['ACRO SPORT Acro-Sport 1', 'ACRO SPORT Super Acro-Sport', 'EAA Acro-Sport 1', 'EAA Super Acro-Sport']"
ACSR,L1P,L/G,7.9,7,2.5,1.1,,690,4,,,170,150,159,96,1000,['VICTA Aircruiser']
AD20,L1P,L/G,9.4,6.3,2.1,0.6,40,215,2,100,,,80,81,56,590,['BEIJING KEYUAN AD-200']
AD21,L1P,L/G,,,,,,,2,200,,,,,,,['NANJING UNIVERSITY AD-200']
ADEL,G1P,L/G,-,,,,,90,1,30,10,,,,,,['USTINOV Adel']
ADVE,L1P,L/G,11,6.8,2,,,,4,,,150,120,112,,800,['AUSTER J-5 Adventurer']
ADVN,A1P,L/G,10.7,7.5,2.7,1.5,230,690,4,700,600,125,100,137,108,900,['ADVENTURE AIR Adventurer']
AE45,L2P,L/G,12.2,7.5,2.3,1.6,,730,4,375,350,175,150,143,124,980,"['AERO (2) 45', 'LET Aero 45', 'LET Super Aero 145']"
AEA1,L1P,L/G,9.1,7.3,,,,400,3,,,150,120,100,85,,"['AMERICAN EAGLE A-1', 'AMERICAN EAGLE A-101']"
AERK,L1P,L/G,10.9,6.2,2,0.5,,200,,,,120,,74,,450,"['AERONCA K Scout', 'AERONCA K Sea Scout', 'AERONCA CF Scout']"
AEST,L2P,L/G,10.4,10.6,3.9,2.7,620,1080,6,750,700,280,210,257,235,1500,"['AEROSTAR (1) 600', 'AEROSTAR (1) 601', 'AICSA Aerostar', 'MACHEN Superstar', 'PIPER Aerostar', 'PIPER PA-60 Aerostar', 'TED SMITH Aerostar']"
AFOX,L1P,L/G,9.1,5.8,1.7,0.5,60,500,2,120,200,,,130,100,,['HALLEY Apollo Fox']
AG02,L1P,L/G,6.4,4.5,1.5,0.3,30,,1,240,270,150,120,102,75,435,['GATARD AG-02 Poussin']
AG10,L1P,L/G,,,,,,,1+2,,,,,,,,['CAIGA AG-100']
AG60,A4T,M/Z,38.8,36.9,12.1,53.5,,2400,50,,,330,200,300,270,,['CAIGA AG-600 Kunlong']
AGSH,A1P,L/G,7.3,6.5,2,0.7,106,800,,150,,140,100,139,,,"['AERO GARE Sea Hawker', 'AERO-COMPOSITES Sea Hawker']"
AI10,L1P,L/G,9,6.2,1.7,0.5,88,540,2,80,60,130,100,110,97,1180,['IKAR Ai-10 Ikar']
AIGT,L1P,L/G,10.9,7.1,2,,,,4,,,140,110,,114,700,"['AUSTER J-5F Aiglet Trainer', 'AUSTER J-5K Aiglet Trainer', 'AUSTER J-5L Aiglet Trainer']"
AIRD,L1P,L/G,11.1,8,3,1.2,230,830,4,,,120,100,,116,650,"['BEAGLE A-109 Airedale', 'BEAGLE-AUSTER A-109 Airedale']"
AIRL,L2P,L/G,8.9,5.9,,0.5,60,500,2,,,150,130,157,127,2000,['AERONIX Airelle']
AJ27,L2J,M/F,27.5,32.7,8.5,40.7,10386,1200,78-85,1472,1436,350,220,500 / .78,,,"['COMAC ARJ-21-700 Xiangfeng', 'COMAC ARJ-21-700']"
AJET,L2J,M/G,8.1,12.2,4.1,7.2,2500,1500,2,850,1250,490,250,540 / .86,420,11200,"['AOI Alpha Jet', 'DASSAULT-DORNIER Alpha Jet', 'SABCA Alpha Jet']"
AK1,L1P,L/G,15,7.2,,0.5,,,1,,,130,100,97,33,,['AKAFLIEG KARLSRUHE AK-1']
AKOY,L1P,L/G,11,6.9,2.3,0.5,,800,2,150,,140,100,157,124,,['LISA Akoya']
AKRO,L1P,L/G,7.6,5.8,1.8,0.6,,350,1,,,150,100,200,,,['STEPHENS Akro']
ALBU,L1P,L/G,11.8,7.5,2,1.5,150,500,4,250,120,180,140,,100,1000,['AVIATION DEVELOPMENT Alaskan Bushmaster']
ALC1,L1P,L/G,8,5.7,,0.6,76,295,2,200,300,140,91,83,75,950,['ALTAIR COELHO AC-11']
ALGR,L1P,L/G,10.8,6.3,2,0.5,55,270,,150,100,160,120,118,89,1180,"['FANTASY AIR Allegro', 'LSA AMERICA Allegro']"
ALH,H2T,L/G,-,15.8,4.9,5.5,1100,430,16,,,195,140,156,132,2360,['HINDUSTAN ALH Dhruv']
ALIG,L1P,L/G,8.2,6,2,0.7,90,700,,100,150,,,170,155,1200,['ARION LS-1 Lightning']
ALIZ,L1T,M/G,15.6,13.8,4.5,8.2,,1390,3,780,700,265,230,450,210,1400,['BREGUET 1050 Alize']
ALO2,H1T,L/G,-,9.7,2.7,1.6,580,160,5,,,150,130,100,90,820,"['AEROSPATIALE SA-318 Alouette 2', 'REPUBLIC SE-3130 Alouette 2', 'SUD SA-318 Alouette 2', 'SUD SA-3180 Alouette 2', 'SUD SE-313 Alouette 2', 'SUD SE-3130 Alouette 2', 'SUD-EST SE-3130 Alouette 2']"
