squawk,function
0219,Allocated to NATS as CCAMS redundancy
0220,Allocated to NATS as CCAMS redundancy
0221,Allocated to NATS as CCAMS redundancy
0222,Allocated to NATS as CCAMS redundancy
0223,Allocated to NATS as CCAMS redundancy
0224,Allocated to NATS as CCAMS redundancy
0225,Allocated to NATS as CCAMS redundancy
0226,Allocated to NATS as CCAMS redundancy
0227,Allocated to NATS as CCAMS redundancy
0228,Allocated to NATS as CCAMS redundancy
0229,Allocated to NATS as CCAMS redundancy
0230,Allocated to NATS as CCAMS redundancy
0231,Allocated to NATS as CCAMS redundancy
0232,Allocated to NATS as CCAMS redundancy
0233,Allocated to NATS as CCAMS redundancy
0234,Allocated to NATS as CCAMS redundancy
0235,Allocated to NATS as CCAMS redundancy
0236,Allocated to NATS as CCAMS redundancy
0237,Allocated to NATS as CCAMS redundancy
0238,Allocated to NATS as CCAMS redundancy
0239,Allocated to NATS as CCAMS redundancy
0240,Allocated to NATS as CCAMS redundancy
0241,Allocated to NATS as CCAMS redundancy
0242,Allocated to NATS as CCAMS redundancy
0243,Allocated to NATS as CCAMS redundancy
0244,Allocated to NATS as CCAMS redundancy
0245,Allocated to NATS as CCAMS redundancy
0246,Allocated to NATS as CCAMS redundancy
0247,Allocated to NATS as CCAMS redundancy
0248,Allocated to NATS as CCAMS redundancy
0249,Allocated to NATS as CCAMS redundancy
0250,Allocated to NATS as CCAMS redundancy
0251,Allocated to NATS as CCAMS redundancy
0252,Allocated to NATS as CCAMS redundancy
0253,Allocated to NATS as CCAMS redundancy
0254,Allocated to NATS as CCAMS redundancy
0255,Allocated to NATS as CCAMS redundancy
0256,Allocated to NATS as CCAMS redundancy
0257,Allocated to NATS as CCAMS redundancy
0258,Allocated to NATS as CCAMS redundancy
0259,Allocated to NATS as CCAMS redundancy
0260,Allocated to NATS as CCAMS redundancy
0261,Allocated to NATS as CCAMS redundancy
0262,Allocated to NATS as CCAMS redundancy
0263,Allocated to NATS as CCAMS redundancy
0264,Allocated to NATS as CCAMS redundancy
0265,Allocated to NATS as CCAMS redundancy
0266,Allocated to NATS as CCAMS redundancy
0267,Allocated to NATS as CCAMS redundancy
0268,Allocated to NATS as CCAMS redundancy
0269,Allocated to NATS as CCAMS redundancy
0270,Allocated to NATS as CCAMS redundancy
0271,Allocated to NATS as CCAMS redundancy
0272,Allocated to NATS as CCAMS redundancy
0273,Allocated to NATS as CCAMS redundancy
0274,Allocated to NATS as CCAMS redundancy
0275,Allocated to NATS as CCAMS redundancy
0276,Allocated to NATS as CCAMS redundancy
0277,Allocated to NATS as CCAMS redundancy
0300,HQ Air Command (See note 15)
0301,Assigned by CCAMS
0302,Assigned by CCAMS
0303,Assigned by CCAMS
0304,Assigned by CCAMS
0305,Assigned by CCAMS
0306,Assigned by CCAMS
0307,Assigned by CCAMS
0308,Assigned by CCAMS
0309,Assigned by CCAMS
0310,Assigned by CCAMS
0311,Assigned by CCAMS
0312,Assigned by CCAMS
0313,Assigned by CCAMS
0314,Assigned by CCAMS
0315,Assigned by CCAMS
0316,Assigned by CCAMS
0317,Assigned by CCAMS
0318,Assigned by CCAMS
0319,Assigned by CCAMS
0320,Assigned by CCAMS
0321,Assigned by CCAMS
0322,Assigned by CCAMS
0323,Assigned by CCAMS
0324,Assigned by CCAMS
0325,Assigned by CCAMS
0326,Assigned by CCAMS
0327,Assigned by CCAMS
0328,Assigned by CCAMS
0329,Assigned by CCAMS
0330,Assigned by CCAMS
0331,Assigned by CCAMS
0332,Assigned by CCAMS
0333,Assigned by CCAMS
0334,Assigned by CCAMS
0335,Assigned by CCAMS
0336,Assigned by CCAMS
0337,Assigned by CCAMS
0338,Assigned by CCAMS
0339,Assigned by CCAMS
0340,Assigned by CCAMS
0341,Assigned by CCAMS
0342,Assigned by CCAMS
0343,Assigned by CCAMS
0344,Assigned by CCAMS
0345,Assigned by CCAMS
0346,Assigned by CCAMS
0347,Assigned by CCAMS
0348,Assigned by CCAMS
0349,Assigned by CCAMS
0350,Assigned by CCAMS
0351,Assigned by CCAMS
0352,Assigned by CCAMS
0353,Assigned by CCAMS
0354,Assigned by CCAMS
0355,Assigned by CCAMS
0356,Assigned by CCAMS
0357,Assigned by CCAMS
0358,Assigned by CCAMS
0359,Assigned by CCAMS
0360,Assigned by CCAMS
0361,Assigned by CCAMS
0362,Assigned by CCAMS
0363,Assigned by CCAMS
0364,Assigned by CCAMS
0365,Assigned by CCAMS
0366,Assigned by CCAMS
0367,Assigned by CCAMS
0368,Assigned by CCAMS
0369,Assigned by CCAMS
0370,Assigned by CCAMS
0371,Assigned by CCAMS
0372,Assigned by CCAMS
0373,Assigned by CCAMS
0374,Assigned by CCAMS
0375,Assigned by CCAMS
0376,Assigned by CCAMS
0377,Assigned by CCAMS
0400,HQ Air Command (See note 15)
0401,RAF Leeming Conspicuity
0401,Birmingham Radar
0402,Birmingham Radar
0403,Birmingham Radar
0404,Birmingham Radar
0405,Birmingham Radar
0406,Birmingham Radar
0407,Birmingham Radar
0408,Birmingham Radar
0409,Birmingham Radar
0410,Birmingham Radar
0411,Birmingham Radar
0412,Birmingham Radar
0413,Birmingham Radar
0414,Birmingham Radar
0415,Birmingham Radar
0416,Birmingham Radar
0417,Birmingham Radar
0401,Ireland Domestic
0402,Ireland Domestic
0403,Ireland Domestic
0404,Ireland Domestic
0405,Ireland Domestic
0406,Ireland Domestic
0407,Ireland Domestic
0408,Ireland Domestic
0409,Ireland Domestic
0410,Ireland Domestic
0411,Ireland Domestic
0412,Ireland Domestic
0413,Ireland Domestic
0414,Ireland Domestic
0415,Ireland Domestic
0416,Ireland Domestic
0417,Ireland Domestic
0418,Ireland Domestic
0419,Ireland Domestic
0420,Ireland Domestic
0421,Ireland Domestic
0422,Ireland Domestic
0423,Ireland Domestic
0424,Ireland Domestic
0425,Ireland Domestic
0426,Ireland Domestic
0427,Ireland Domestic
0428,Ireland Domestic
0429,Ireland Domestic
0430,Ireland Domestic
0431,Ireland Domestic
0432,Ireland Domestic
0433,Ireland Domestic
0434,Ireland Domestic
0435,Ireland Domestic
0436,Ireland Domestic
0437,Ireland Domestic
0401,Exeter Approach
0402,Exeter Approach
0403,Exeter Approach
0404,Exeter Approach
0405,Exeter Approach
0406,Exeter Approach
0407,Exeter Approach
0408,Exeter Approach
0409,Exeter Approach
0410,Exeter Approach
0411,Exeter Approach
0412,Exeter Approach
0413,Exeter Approach
0414,Exeter Approach
0415,Exeter Approach
0416,Exeter Approach
0417,Exeter Approach
0418,Exeter Approach
0419,Exeter Approach
0420,Exeter Approach
0421,Exeter Approach
0422,Exeter Approach
0423,Exeter Approach
0424,Exeter Approach
0425,Exeter Approach
0426,Exeter Approach
0427,Exeter Approach
0428,Exeter Approach
0429,Exeter Approach
0430,Exeter Approach
0431,Exeter Approach
0432,Exeter Approach
0433,Exeter Approach
0434,Exeter Approach
0435,Exeter Approach
0436,Exeter Approach
0437,Exeter Approach
0438,Exeter Approach
0439,Exeter Approach
0440,Exeter Approach
0441,Exeter Approach
0442,Exeter Approach
0443,Exeter Approach
0444,Exeter Approach
0445,Exeter Approach
0446,Exeter Approach
0447,Exeter Approach
0448,Exeter Approach
0449,Exeter Approach
0450,Exeter Approach
0401,RAF Lakenheath
0402,RAF Lakenheath
0403,RAF Lakenheath
0404,RAF Lakenheath
0405,RAF Lakenheath
0406,RAF Lakenheath
0407,RAF Lakenheath
0408,RAF Lakenheath
0409,RAF Lakenheath
0410,RAF Lakenheath
0411,RAF Lakenheath
0412,RAF Lakenheath
0413,RAF Lakenheath
0414,RAF Lakenheath
0415,RAF Lakenheath
0416,RAF Lakenheath
0417,RAF Lakenheath
0418,RAF Lakenheath
0419,RAF Lakenheath
0420,RAF Lakenheath
0421,RAF Lakenheath
0422,RAF Lakenheath
0423,RAF Lakenheath
0424,RAF Lakenheath
0425,RAF Lakenheath
0426,RAF Lakenheath
0427,RAF Lakenheath
0428,RAF Lakenheath
0429,RAF Lakenheath
0430,RAF Lakenheath
0431,RAF Lakenheath
0432,RAF Lakenheath
0433,RAF Lakenheath
0434,RAF Lakenheath
0435,RAF Lakenheath
0436,RAF Lakenheath
0437,RAF Lakenheath
0438,RAF Lakenheath
0439,RAF Lakenheath
0440,RAF Lakenheath
0441,RAF Lakenheath
0442,RAF Lakenheath
0443,RAF Lakenheath
0444,RAF Lakenheath
0445,RAF Lakenheath
0446,RAF Lakenheath
0447,RAF Lakenheath
0448,RAF Lakenheath
0449,RAF Lakenheath
0450,RAF Lakenheath
0451,RAF Lakenheath
0452,RAF Lakenheath
0453,RAF Lakenheath
0454,RAF Lakenheath
0455,RAF Lakenheath
0456,RAF Lakenheath
0457,RAF Lakenheath
0458,RAF Lakenheath
0459,RAF Lakenheath
0460,RAF Lakenheath
0461,RAF Lakenheath
0402,RAF Leeming
0403,RAF Leeming
0404,RAF Leeming
0405,RAF Leeming
0406,RAF Leeming
0407,RAF Leeming
0408,RAF Leeming
0409,RAF Leeming
0410,RAF Leeming
0411,RAF Leeming
0412,RAF Leeming
0413,RAF Leeming
0414,RAF Leeming
0415,RAF Leeming
0416,RAF Leeming
0417,RAF Leeming
0418,RAF Leeming
0419,RAF Leeming
0420,RAF Leeming
0421,RAF Leeming
0422,RAF Leeming
0423,RAF Leeming
0424,RAF Leeming
0425,RAF Leeming
0426,RAF Leeming
0427,RAF Leeming
0428,RAF Leeming
0429,RAF Leeming
0430,RAF Leeming
0431,RAF Leeming
0432,RAF Leeming
0433,RAF Leeming
0434,RAF Leeming
0435,RAF Leeming
0436,RAF Leeming
0437,RAF Leeming
0420,Coventry Conspicuity
0421,Farnborough Zone/Approach Radar IFR/SVFR
0422,Farnborough Zone/Approach Radar IFR/SVFR
0423,Farnborough Zone/Approach Radar IFR/SVFR
0424,Farnborough Zone/Approach Radar IFR/SVFR
0425,Farnborough Zone/Approach Radar IFR/SVFR
0426,Farnborough Zone/Approach Radar IFR/SVFR
0427,Farnborough Zone/Approach Radar IFR/SVFR
0430,Hawarden Airport Conspicuity Code
0430,Edinburgh Approach
0431,Edinburgh Approach
0432,Edinburgh Approach
0433,Edinburgh Approach
0434,Edinburgh Approach
0435,Edinburgh Approach
0436,Edinburgh Approach
0437,Edinburgh Approach
0430,Farnborough LARS West
0431,Farnborough LARS West
0432,Farnborough LARS West
0433,Farnborough LARS West
0434,Farnborough LARS West
0435,Farnborough LARS West
0436,Farnborough LARS West
0437,Farnborough LARS West
0438,Farnborough LARS West
0439,Farnborough LARS West
0440,Farnborough LARS West
0441,Farnborough LARS West
0442,Farnborough LARS West
0443,Farnborough LARS West
0444,Farnborough LARS West
0445,Farnborough LARS West
0446,Farnborough LARS West
0447,Farnborough LARS West
0448,Farnborough LARS West
0449,Farnborough LARS West
0450,Farnborough LARS West
0451,Farnborough LARS West
0452,Farnborough LARS West
0453,Farnborough LARS West
0454,Farnborough LARS West
0455,Farnborough LARS West
0456,Farnborough LARS West
0431,Hawarden Approach
0432,Hawarden Approach
0433,Hawarden Approach
0434,Hawarden Approach
0435,Hawarden Approach
0436,Hawarden Approach
0437,Hawarden Approach
0438,Hawarden Approach
0439,Hawarden Approach
0440,Hawarden Approach
0441,Hawarden Approach
0442,Hawarden Approach
0443,Hawarden Approach
0444,Hawarden Approach
0445,Hawarden Approach
0446,Hawarden Approach
0440,This code may be used when flying in the vicinity of Edinburgh operating outside of Edinburgh CTR/ Edinburgh CTA and monitoring Edinburgh Radar frequency (Refer to ENR 1.6 para 2.2.5)
0441,Edinburgh Approach
0442,Edinburgh Approach
0443,Edinburgh Approach
0450,Blackpool Basic Service Conspicuity
