squawk,function
1040,Transit (ORCAM) Spain
1041,Transit (ORCAM) Spain
1042,Transit (ORCAM) Spain
1043,Transit (ORCAM) Spain
1044,Transit (ORCAM) Spain
1045,Transit (ORCAM) Spain
1046,Transit (ORCAM) Spain
1047,Transit (ORCAM) Spain
1048,Transit (ORCAM) Spain
1049,Transit (ORCAM) Spain
1050,Transit (ORCAM) Spain
1051,Transit (ORCAM) Spain
1052,Transit (ORCAM) Spain
1053,Transit (ORCAM) Spain
1054,Transit (ORCAM) Spain
1055,Transit (ORCAM) Spain
1056,Transit (ORCAM) Spain
1057,Transit (ORCAM) Spain
1058,Transit (ORCAM) Spain
1059,Transit (ORCAM) Spain
1060,Transit (ORCAM) Spain
1061,Transit (ORCAM) Spain
1062,Transit (ORCAM) Spain
1063,Transit (ORCAM) Spain
1064,Transit (ORCAM) Spain
1065,Transit (ORCAM) Spain
1066,Transit (ORCAM) Spain
1067,Transit (ORCAM) Spain
1070,Assigned by CCAMS
1071,Assigned by CCAMS
1072,Assigned by CCAMS
1073,Assigned by CCAMS
1074,Assigned by CCAMS
1075,Assigned by CCAMS
1076,Assigned by CCAMS
1077,Assigned by CCAMS
1100,HQ Air Command (See note 15)
1101,Transit (ORCAM) Germany
1102,Transit (ORCAM) Germany
1103,Transit (ORCAM) Germany
1104,Transit (ORCAM) Germany
1105,Transit (ORCAM) Germany
1106,Transit (ORCAM) Germany
1107,Transit (ORCAM) Germany
1108,Transit (ORCAM) Germany
1109,Transit (ORCAM) Germany
1110,Transit (ORCAM) Germany
1111,Transit (ORCAM) Germany
1112,Transit (ORCAM) Germany
1113,Transit (ORCAM) Germany
1114,Transit (ORCAM) Germany
1115,Transit (ORCAM) Germany
1116,Transit (ORCAM) Germany
1117,Transit (ORCAM) Germany
1118,Transit (ORCAM) Germany
1119,Transit (ORCAM) Germany
1120,Transit (ORCAM) Germany
1121,Transit (ORCAM) Germany
1122,Transit (ORCAM) Germany
1123,Transit (ORCAM) Germany
1124,Transit (ORCAM) Germany
1125,Transit (ORCAM) Germany
1126,Transit (ORCAM) Germany
1127,Transit (ORCAM) Germany
1128,Transit (ORCAM) Germany
1129,Transit (ORCAM) Germany
1130,Transit (ORCAM) Germany
1131,Transit (ORCAM) Germany
1132,Transit (ORCAM) Germany
1133,Transit (ORCAM) Germany
1134,Transit (ORCAM) Germany
1135,Transit (ORCAM) Germany
1136,Transit (ORCAM) Germany
1137,Transit (ORCAM) Germany
1140,Assigned by CCAMS
1141,Assigned by CCAMS
1142,Assigned by CCAMS
1143,Assigned by CCAMS
1144,Assigned by CCAMS
1145,Assigned by CCAMS
1146,Assigned by CCAMS
1147,Assigned by CCAMS
1148,Assigned by CCAMS
1149,Assigned by CCAMS
1150,Assigned by CCAMS
1151,Assigned by CCAMS
1152,Assigned by CCAMS
1153,Assigned by CCAMS
1154,Assigned by CCAMS
1155,Assigned by CCAMS
1156,Assigned by CCAMS
1157,Assigned by CCAMS
1158,Assigned by CCAMS
1159,Assigned by CCAMS
1160,Assigned by CCAMS
1161,Assigned by CCAMS
1162,Assigned by CCAMS
1163,Assigned by CCAMS
1164,Assigned by CCAMS
1165,Assigned by CCAMS
1166,Assigned by CCAMS
1167,Assigned by CCAMS
1168,Assigned by CCAMS
1169,Assigned by CCAMS
1170,Assigned by CCAMS
1171,Assigned by CCAMS
1172,Assigned by CCAMS
1173,Assigned by CCAMS
1174,Assigned by CCAMS
1175,Assigned by CCAMS
1176,Assigned by CCAMS
1177,London Control (Swanwick) FIS (Refer to ENR 1.6 paragraph 2.2.2.2 and note 5)
1200,HQ Air Command (See note 15)
1201,Channel Islands Domestic
1202,Channel Islands Domestic
1203,Channel Islands Domestic
1204,Channel Islands Domestic
1205,Channel Islands Domestic
1206,Channel Islands Domestic
1207,Channel Islands Domestic
1208,Channel Islands Domestic
1209,Channel Islands Domestic
1210,Channel Islands Domestic
1211,Channel Islands Domestic
1212,Channel Islands Domestic
1213,Channel Islands Domestic
1214,Channel Islands Domestic
1215,Channel Islands Domestic
1216,Channel Islands Domestic
1217,Channel Islands Domestic
1218,Channel Islands Domestic
1219,Channel Islands Domestic
1220,Channel Islands Domestic
1221,Channel Islands Domestic
1222,Channel Islands Domestic
1223,Channel Islands Domestic
1224,Channel Islands Domestic
1225,Channel Islands Domestic
1226,Channel Islands Domestic
1227,Channel Islands Domestic
1228,Channel Islands Domestic
1229,Channel Islands Domestic
1230,Channel Islands Domestic
1231,Channel Islands Domestic
1232,Channel Islands Domestic
1233,Channel Islands Domestic
1234,Channel Islands Domestic
1235,Channel Islands Domestic
1236,Channel Islands Domestic
1237,Channel Islands Domestic
1238,Channel Islands Domestic
1239,Channel Islands Domestic
1240,Channel Islands Domestic
1241,Channel Islands Domestic
1242,Channel Islands Domestic
1243,Channel Islands Domestic
1244,Channel Islands Domestic
1245,Channel Islands Domestic
1246,Channel Islands Domestic
1247,Channel Islands Domestic
1250,Assigned by CCAMS
1251,Assigned by CCAMS
1252,Assigned by CCAMS
1253,Assigned by CCAMS
1254,Assigned by CCAMS
1255,Assigned by CCAMS
1256,Assigned by CCAMS
1257,Assigned by CCAMS
1260,Queen Elizabeth Class aircraft carrier operations
1261,Queen Elizabeth Class aircraft carrier operations
1262,Queen Elizabeth Class aircraft carrier operations
1263,Queen Elizabeth Class aircraft carrier operations
1264,Queen Elizabeth Class aircraft carrier operations
1265,Queen Elizabeth Class aircraft carrier operations
1266,Queen Elizabeth Class aircraft carrier operations
1267,Queen Elizabeth Class aircraft carrier operations
1268,Queen Elizabeth Class aircraft carrier operations
1269,Queen Elizabeth Class aircraft carrier operations
1270,Queen Elizabeth Class aircraft carrier operations
1271,Queen Elizabeth Class aircraft carrier operations
1272,Queen Elizabeth Class aircraft carrier operations
1273,Queen Elizabeth Class aircraft carrier operations
1274,Queen Elizabeth Class aircraft carrier operations
1275,Queen Elizabeth Class aircraft carrier operations
1276,Queen Elizabeth Class aircraft carrier operations
1277,Queen Elizabeth Class aircraft carrier operations
1300,HQ Air Command (See note 15)
1301,Assigned by CAA
1302,Assigned by CAA
1303,Assigned by CAA
1304,Assigned by CAA
1305,Assigned by CAA
1306,Assigned by CAA
1307,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1308,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1309,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1310,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1311,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1312,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1313,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1314,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1315,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1316,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1317,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1318,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1319,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1320,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1321,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1322,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1323,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1324,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1325,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1326,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1327,NATO - Air Policing (Air Defence Priority Flights) (See note 6)
1330,Transit (ORCAM) Germany
1331,Transit (ORCAM) Germany
1332,Transit (ORCAM) Germany
1333,Transit (ORCAM) Germany
1334,Transit (ORCAM) Germany
1335,Transit (ORCAM) Germany
1336,Transit (ORCAM) Germany
1337,Transit (ORCAM) Germany
1338,Transit (ORCAM) Germany
1339,Transit (ORCAM) Germany
1340,Transit (ORCAM) Germany
1341,Transit (ORCAM) Germany
1342,Transit (ORCAM) Germany
1343,Transit (ORCAM) Germany
1344,Transit (ORCAM) Germany
1345,Transit (ORCAM) Germany
1346,Transit (ORCAM) Germany
1347,Transit (ORCAM) Germany
1348,Transit (ORCAM) Germany
1349,Transit (ORCAM) Germany
1350,Transit (ORCAM) Germany
1351,Transit (ORCAM) Germany
1352,Transit (ORCAM) Germany
1353,Transit (ORCAM) Germany
1354,Transit (ORCAM) Germany
1355,Transit (ORCAM) Germany
1356,Transit (ORCAM) Germany
1357,Transit (ORCAM) Germany
1358,Transit (ORCAM) Germany
1359,Transit (ORCAM) Germany
1360,Transit (ORCAM) Germany
1361,Transit (ORCAM) Germany
1362,Transit (ORCAM) Germany
1363,Transit (ORCAM) Germany
1364,Transit (ORCAM) Germany
1365,Transit (ORCAM) Germany
1366,Transit (ORCAM) Germany
1367,Transit (ORCAM) Germany
1368,Transit (ORCAM) Germany
1369,Transit (ORCAM) Germany
1370,Transit (ORCAM) Germany
1371,Transit (ORCAM) Germany
1372,Transit (ORCAM) Germany
1373,Transit (ORCAM) Germany
1374,Transit (ORCAM) Germany
1375,Transit (ORCAM) Germany
1376,Transit (ORCAM) Germany
1377,Transit (ORCAM) Germany
1400,HQ Air Command (See note 15)
1401,Irish CCAMS Contingency Codes
1402,Irish CCAMS Contingency Codes
1403,Irish CCAMS Contingency Codes
1404,Irish CCAMS Contingency Codes
1405,Irish CCAMS Contingency Codes
1406,Irish CCAMS Contingency Codes
1407,Irish CCAMS Contingency Codes
1410,Assigned by CCAMS
1411,Assigned by CCAMS
1412,Assigned by CCAMS
1413,Assigned by CCAMS
1414,Assigned by CCAMS
1415,Assigned by CCAMS
1416,Assigned by CCAMS
1417,Assigned by CCAMS
1418,Assigned by CCAMS
1419,Assigned by CCAMS
1420,Assigned by CCAMS
1421,Assigned by CCAMS
1422,Assigned by CCAMS
1423,Assigned by CCAMS
1424,Assigned by CCAMS
1425,Assigned by CCAMS
1426,Assigned by CCAMS
1427,Assigned by CCAMS
1428,Assigned by CCAMS
1429,Assigned by CCAMS
1430,Assigned by CCAMS
1431,Assigned by CCAMS
1432,Assigned by CCAMS
1433,Assigned by CCAMS
1434,Assigned by CCAMS
1435,Assigned by CCAMS
1436,Assigned by CCAMS
1437,Assigned by CCAMS
1438,Assigned by CCAMS
1439,Assigned by CCAMS
1440,Assigned by CCAMS
1441,Assigned by CCAMS
1442,Assigned by CCAMS
1443,Assigned by CCAMS
1444,Assigned by CCAMS
1445,Assigned by CCAMS
1446,Assigned by CCAMS
1447,Assigned by CCAMS
1448,Assigned by CCAMS
1449,Assigned by CCAMS
1450,Assigned by CCAMS
1451,Assigned by CCAMS
1452,Assigned by CCAMS
1453,Assigned by CCAMS
1454,Assigned by CCAMS
1455,Assigned by CCAMS
1456,Assigned by CCAMS
1457,Assigned by CCAMS
1458,Assigned by CCAMS
1459,Assigned by CCAMS
1460,Assigned by CCAMS
1461,Assigned by CCAMS
1462,Assigned by CCAMS
1463,Assigned by CCAMS
1464,Assigned by CCAMS
1465,Assigned by CCAMS
1466,Assigned by CCAMS
1467,Assigned by CCAMS
1468,Assigned by CCAMS
1469,Assigned by CCAMS
1470,Assigned by CCAMS
1471,Assigned by CCAMS
1472,Assigned by CCAMS
1473,Assigned by CCAMS
1474,Assigned by CCAMS
1475,Assigned by CCAMS
1476,Assigned by CCAMS
1477,Assigned by CCAMS
1500,HQ Air Command (See note 15)
1501,Battlespace Management Force HQ
1502,Battlespace Management Force HQ
1503,Battlespace Management Force HQ
1504,Battlespace Management Force HQ
1505,Battlespace Management Force HQ
1506,Battlespace Management Force HQ
1507,Battlespace Management Force HQ
1508,Battlespace Management Force HQ
1509,Battlespace Management Force HQ
1510,Battlespace Management Force HQ
1511,Battlespace Management Force HQ
1512,Battlespace Management Force HQ
1513,Battlespace Management Force HQ
1514,Battlespace Management Force HQ
1515,Battlespace Management Force HQ
1516,Battlespace Management Force HQ
1517,Battlespace Management Force HQ
1518,Battlespace Management Force HQ
1519,Battlespace Management Force HQ
1520,Battlespace Management Force HQ
1521,Battlespace Management Force HQ
1522,Battlespace Management Force HQ
1523,Battlespace Management Force HQ
1524,Battlespace Management Force HQ
1525,Battlespace Management Force HQ
1526,Battlespace Management Force HQ
1527,Battlespace Management Force HQ
1528,Battlespace Management Force HQ
1529,Battlespace Management Force HQ
1530,Battlespace Management Force HQ
1531,Battlespace Management Force HQ
1532,Battlespace Management Force HQ
1533,Battlespace Management Force HQ
1534,Battlespace Management Force HQ
1535,Battlespace Management Force HQ
1536,Battlespace Management Force HQ
1537,Battlespace Management Force HQ
1538,Battlespace Management Force HQ
1539,Battlespace Management Force HQ
1540,Battlespace Management Force HQ
1541,Battlespace Management Force HQ
1542,Battlespace Management Force HQ
1543,Battlespace Management Force HQ
1544,Battlespace Management Force HQ
1545,Battlespace Management Force HQ
1546,Battlespace Management Force HQ
1547,Battlespace Management Force HQ
1548,Battlespace Management Force HQ
1549,Battlespace Management Force HQ
1550,Battlespace Management Force HQ
1551,Battlespace Management Force HQ
1552,Battlespace Management Force HQ
1553,Battlespace Management Force HQ
1554,Battlespace Management Force HQ
1555,Battlespace Management Force HQ
1556,Battlespace Management Force HQ
1557,Battlespace Management Force HQ
1558,Battlespace Management Force HQ
1559,Battlespace Management Force HQ
1560,Battlespace Management Force HQ
1561,Battlespace Management Force HQ
1562,Battlespace Management Force HQ
1563,Battlespace Management Force HQ
1564,Battlespace Management Force HQ
1565,Battlespace Management Force HQ
1566,Battlespace Management Force HQ
1567,Battlespace Management Force HQ
1568,Battlespace Management Force HQ
1569,Battlespace Management Force HQ
1570,Battlespace Management Force HQ
1571,Battlespace Management Force HQ
1572,Battlespace Management Force HQ
1573,Battlespace Management Force HQ
1574,Battlespace Management Force HQ
1575,Battlespace Management Force HQ
1576,Battlespace Management Force HQ
1577,Battlespace Management Force HQ
1600,HQ Air Command (See note 15)
1601,Battlespace Management Force HQ
1602,Battlespace Management Force HQ
1603,Battlespace Management Force HQ
1604,Battlespace Management Force HQ
1605,Battlespace Management Force HQ
1606,Battlespace Management Force HQ
1607,Battlespace Management Force HQ
1608,Battlespace Management Force HQ
1609,Battlespace Management Force HQ
1610,Battlespace Management Force HQ
1611,Battlespace Management Force HQ
1612,Battlespace Management Force HQ
1613,Battlespace Management Force HQ
1614,Battlespace Management Force HQ
1615,Battlespace Management Force HQ
1616,Battlespace Management Force HQ
1617,Battlespace Management Force HQ
1618,Battlespace Management Force HQ
1619,Battlespace Management Force HQ
1620,Battlespace Management Force HQ
1621,Battlespace Management Force HQ
1622,Battlespace Management Force HQ
1623,Battlespace Management Force HQ
1624,Battlespace Management Force HQ
1625,Battlespace Management Force HQ
1626,Battlespace Management Force HQ
1627,Battlespace Management Force HQ
1628,Battlespace Management Force HQ
1629,Battlespace Management Force HQ
1630,Battlespace Management Force HQ
1631,Battlespace Management Force HQ
1632,Battlespace Management Force HQ
1633,Battlespace Management Force HQ
1634,Battlespace Management Force HQ
1635,Battlespace Management Force HQ
1636,Battlespace Management Force HQ
1637,Battlespace Management Force HQ
1638,Battlespace Management Force HQ
1639,Battlespace Management Force HQ
1640,Battlespace Management Force HQ
1641,Battlespace Management Force HQ
1642,Battlespace Management Force HQ
1643,Battlespace Management Force HQ
1644,Battlespace Management Force HQ
1645,Battlespace Management Force HQ
1646,Battlespace Management Force HQ
1647,Battlespace Management Force HQ
1648,Battlespace Management Force HQ
1649,Battlespace Management Force HQ
1650,Battlespace Management Force HQ
1651,Battlespace Management Force HQ
1652,Battlespace Management Force HQ
1653,Battlespace Management Force HQ
1654,Battlespace Management Force HQ
1655,Battlespace Management Force HQ
1656,Battlespace Management Force HQ
1657,Battlespace Management Force HQ
1658,Battlespace Management Force HQ
1659,Battlespace Management Force HQ
1660,Battlespace Management Force HQ
1661,Battlespace Management Force HQ
1662,Battlespace Management Force HQ
1663,Battlespace Management Force HQ
1664,Battlespace Management Force HQ
1665,Battlespace Management Force HQ
1666,Battlespace Management Force HQ
1667,Battlespace Management Force HQ
1668,Battlespace Management Force HQ
1669,Battlespace Management Force HQ
1670,Battlespace Management Force HQ
1671,Battlespace Management Force HQ
1672,Battlespace Management Force HQ
1673,Battlespace Management Force HQ
1674,Battlespace Management Force HQ
1675,Battlespace Management Force HQ
1676,Battlespace Management Force HQ
1677,Battlespace Management Force HQ
1700,HQ Air Command (See note 15)
1701,Battlespace Management Force HQ
1702,Battlespace Management Force HQ
1703,Battlespace Management Force HQ
1704,Battlespace Management Force HQ
1705,Battlespace Management Force HQ
1706,Battlespace Management Force HQ
1707,Battlespace Management Force HQ
1708,Battlespace Management Force HQ
1709,Battlespace Management Force HQ
1710,Battlespace Management Force HQ
1711,Battlespace Management Force HQ
1712,Battlespace Management Force HQ
1713,Battlespace Management Force HQ
1714,Battlespace Management Force HQ
1715,Battlespace Management Force HQ
1716,Battlespace Management Force HQ
1717,Battlespace Management Force HQ
1718,Battlespace Management Force HQ
1719,Battlespace Management Force HQ
1720,Battlespace Management Force HQ
1721,Battlespace Management Force HQ
1722,Battlespace Management Force HQ
1723,Battlespace Management Force HQ
1724,Battlespace Management Force HQ
1725,Battlespace Management Force HQ
1726,Battlespace Management Force HQ
1727,Battlespace Management Force HQ
1730,Newquay Approach
1731,Newquay Approach
1732,Newquay Approach
1733,Newquay Approach
1734,Newquay Approach
1735,Newquay Approach
1736,Newquay Approach
1737,Newquay Approach
1738,Newquay Approach
1739,Newquay Approach
1740,Newquay Approach
1741,Newquay Approach
1742,Newquay Approach
1743,Newquay Approach
1744,Newquay Approach
1745,Newquay Approach
1746,Newquay Approach
1730,Farnborough LARS East
1731,Farnborough LARS East
1732,Farnborough LARS East
1733,Farnborough LARS East
1734,Farnborough LARS East
1735,Farnborough LARS East
1736,Farnborough LARS East
1737,Farnborough LARS East
1738,Farnborough LARS East
1739,Farnborough LARS East
1740,Farnborough LARS East
1741,Farnborough LARS East
1742,Farnborough LARS East
1743,Farnborough LARS East
1744,Farnborough LARS East
1745,Farnborough LARS East
1746,Farnborough LARS East
1730,RAF Spadeadam (See note 8)
1731,RAF Spadeadam (See note 8)
1732,RAF Spadeadam (See note 8)
1733,RAF Spadeadam (See note 8)
1734,RAF Spadeadam (See note 8)
1735,RAF Spadeadam (See note 8)
1736,RAF Spadeadam (See note 8)
1737,RAF Spadeadam (See note 8)
1738,RAF Spadeadam (See note 8)
1739,RAF Spadeadam (See note 8)
1740,RAF Spadeadam (See note 8)
1741,RAF Spadeadam (See note 8)
1742,RAF Spadeadam (See note 8)
1743,RAF Spadeadam (See note 8)
1744,RAF Spadeadam (See note 8)
1745,RAF Spadeadam (See note 8)
1746,RAF Spadeadam (See note 8)
1747,RAF Spadeadam (See note 8)
1748,RAF Spadeadam (See note 8)
1749,RAF Spadeadam (See note 8)
1750,RAF Spadeadam (See note 8)
1751,RAF Spadeadam (See note 8)
1752,RAF Spadeadam (See note 8)
1753,RAF Spadeadam (See note 8)
1754,RAF Spadeadam (See note 8)
1755,RAF Spadeadam (See note 8)
1756,RAF Spadeadam (See note 8)
1757,RAF Spadeadam (See note 8)
1758,RAF Spadeadam (See note 8)
1759,RAF Spadeadam (See note 8)
1760,RAF Spadeadam (See note 8)
1761,RAF Spadeadam (See note 8)
1762,RAF Spadeadam (See note 8)
1763,RAF Spadeadam (See note 8)
1764,RAF Spadeadam (See note 8)
1765,RAF Spadeadam (See note 8)
1766,RAF Spadeadam (See note 8)
1767,RAF Spadeadam (See note 8)
1730,RAF Coningsby
1731,RAF Coningsby
1732,RAF Coningsby
1733,RAF Coningsby
1734,RAF Coningsby
1735,RAF Coningsby
1736,RAF Coningsby
1737,RAF Coningsby
1738,RAF Coningsby
1739,RAF Coningsby
1740,RAF Coningsby
1741,RAF Coningsby
1742,RAF Coningsby
1743,RAF Coningsby
1744,RAF Coningsby
1745,RAF Coningsby
1746,RAF Coningsby
1747,RAF Coningsby
1748,RAF Coningsby
1749,RAF Coningsby
1750,RAF Coningsby
1751,RAF Coningsby
1752,RAF Coningsby
1753,RAF Coningsby
1754,RAF Coningsby
1755,RAF Coningsby
1756,RAF Coningsby
1757,RAF Coningsby
1758,RAF Coningsby
1759,RAF Coningsby
1760,RAF Coningsby
1761,RAF Coningsby
1762,RAF Coningsby
1763,RAF Coningsby
1764,RAF Coningsby
1765,RAF Coningsby
1766,RAF Coningsby
1767,RAF Coningsby
1768,RAF Coningsby
1769,RAF Coningsby
1770,RAF Coningsby
1771,RAF Coningsby
1772,RAF Coningsby
1773,RAF Coningsby
1774,RAF Coningsby
1775,RAF Coningsby
1776,RAF Coningsby
1747,Farnborough LARS East Conspicuity
1747,Newquay Conspicuity
1750,Farnborough Zone (IFR/SVFR)
1751,Farnborough Zone (IFR/SVFR)
1752,Farnborough Zone (IFR/SVFR)
1753,Farnborough Zone (IFR/SVFR)
1754,Farnborough Zone (IFR/SVFR)
1755,Farnborough Zone (IFR/SVFR)
1756,Farnborough Zone (IFR/SVFR)
1757,Farnborough Zone (IFR/SVFR)
1750,Newquay Approach
1751,Newquay Approach
1752,Newquay Approach
1753,Newquay Approach
1754,Newquay Approach
1755,Newquay Approach
1756,Newquay Approach
1757,Newquay LARS when no discrete SSR code is available
1760,RNAS Yeovilton Fighter Control
1761,RNAS Yeovilton Fighter Control
1762,RNAS Yeovilton Fighter Control
1763,RNAS Yeovilton Fighter Control
1764,RNAS Yeovilton Fighter Control
1765,RNAS Yeovilton Fighter Control
1766,RNAS Yeovilton Fighter Control
1767,RNAS Yeovilton Fighter Control
1768,RNAS Yeovilton Fighter Control
1769,RNAS Yeovilton Fighter Control
1770,RNAS Yeovilton Fighter Control
1771,RNAS Yeovilton Fighter Control
1772,RNAS Yeovilton Fighter Control
1773,RNAS Yeovilton Fighter Control
1774,RNAS Yeovilton Fighter Control
1775,RNAS Yeovilton Fighter Control
1776,RNAS Yeovilton Fighter Control
1777,RNAS Yeovilton Fighter Control
1777,RAF Coningsby Conspicuity 
2000,Conspicuity when entering United Kingdom airspace from an adjacent region where the operation of transponders has not been required
2001,Assigned by CCAMS
2002,Assigned by CCAMS
2003,Assigned by CCAMS
2004,Assigned by CCAMS
2005,Assigned by CCAMS
2006,Assigned by CCAMS
2007,Assigned by CCAMS
2008,Assigned by CCAMS
2009,Assigned by CCAMS
2010,Assigned by CCAMS
2011,Assigned by CCAMS
2012,Assigned by CCAMS
2013,Assigned by CCAMS
2014,Assigned by CCAMS
2015,Assigned by CCAMS
2016,Assigned by CCAMS
2017,Assigned by CCAMS
2018,Assigned by CCAMS
2019,Assigned by CCAMS
2020,Assigned by CCAMS
2021,Assigned by CCAMS
2022,Assigned by CCAMS
2023,Assigned by CCAMS
2024,Assigned by CCAMS
2025,Assigned by CCAMS
2026,Assigned by CCAMS
2027,Assigned by CCAMS
2028,Assigned by CCAMS
2029,Assigned by CCAMS
2030,Assigned by CCAMS
2031,Assigned by CCAMS
2032,Assigned by CCAMS
2033,Assigned by CCAMS
2034,Assigned by CCAMS
2035,Assigned by CCAMS
2036,Assigned by CCAMS
2037,Assigned by CCAMS
2038,Assigned by CCAMS
2039,Assigned by CCAMS
2040,Assigned by CCAMS
2041,Assigned by CCAMS
2042,Assigned by CCAMS
2043,Assigned by CCAMS
2044,Assigned by CCAMS
2045,Assigned by CCAMS
2046,Assigned by CCAMS
2047,Assigned by CCAMS
2048,Assigned by CCAMS
2049,Assigned by CCAMS
2050,Assigned by CCAMS
2051,Assigned by CCAMS
2052,Assigned by CCAMS
2053,Assigned by CCAMS
2054,Assigned by CCAMS
2055,Assigned by CCAMS
2056,Assigned by CCAMS
2057,Assigned by CCAMS
2058,Assigned by CCAMS
2059,Assigned by CCAMS
2060,Assigned by CCAMS
2061,Assigned by CCAMS
2062,Assigned by CCAMS
2063,Assigned by CCAMS
2064,Assigned by CCAMS
2065,Assigned by CCAMS
2066,Assigned by CCAMS
2067,Assigned by CCAMS
2068,Assigned by CCAMS
2069,Assigned by CCAMS
2070,Assigned by CCAMS
2071,Assigned by CCAMS
2072,Assigned by CCAMS
2073,Assigned by CCAMS
2074,Assigned by CCAMS
2075,Assigned by CCAMS
2076,Assigned by CCAMS
2077,Assigned by CCAMS
2100,HQ Air Command (See note 15)
2101,Transit (ORCAM) Amsterdam
2102,Transit (ORCAM) Amsterdam
2103,Transit (ORCAM) Amsterdam
2104,Transit (ORCAM) Amsterdam
2105,Transit (ORCAM) Amsterdam
2106,Transit (ORCAM) Amsterdam
2107,Transit (ORCAM) Amsterdam
2108,Transit (ORCAM) Amsterdam
2109,Transit (ORCAM) Amsterdam
2110,Transit (ORCAM) Amsterdam
2111,Transit (ORCAM) Amsterdam
2112,Transit (ORCAM) Amsterdam
2113,Transit (ORCAM) Amsterdam
2114,Transit (ORCAM) Amsterdam
2115,Transit (ORCAM) Amsterdam
2116,Transit (ORCAM) Amsterdam
2117,Transit (ORCAM) Amsterdam
2118,Transit (ORCAM) Amsterdam
2119,Transit (ORCAM) Amsterdam
2120,Transit (ORCAM) Amsterdam
2121,Transit (ORCAM) Amsterdam
2122,Transit (ORCAM) Amsterdam
2123,Transit (ORCAM) Amsterdam
2124,Transit (ORCAM) Amsterdam
2125,Transit (ORCAM) Amsterdam
2126,Transit (ORCAM) Amsterdam
2127,Transit (ORCAM) Amsterdam
2128,Transit (ORCAM) Amsterdam
2129,Transit (ORCAM) Amsterdam
2130,Transit (ORCAM) Amsterdam
2131,Transit (ORCAM) Amsterdam
2132,Transit (ORCAM) Amsterdam
2133,Transit (ORCAM) Amsterdam
2134,Transit (ORCAM) Amsterdam
2135,Transit (ORCAM) Amsterdam
2136,Transit (ORCAM) Amsterdam
2137,Transit (ORCAM) Amsterdam
2138,Transit (ORCAM) Amsterdam
2139,Transit (ORCAM) Amsterdam
2140,Transit (ORCAM) Amsterdam
2141,Transit (ORCAM) Amsterdam
2142,Transit (ORCAM) Amsterdam
2143,Transit (ORCAM) Amsterdam
2144,Transit (ORCAM) Amsterdam
2145,Transit (ORCAM) Amsterdam
2146,Transit (ORCAM) Amsterdam
2147,Transit (ORCAM) Amsterdam
2150,Assigned by CCAMS
2151,Assigned by CCAMS
2152,Assigned by CCAMS
2153,Assigned by CCAMS
2154,Assigned by CCAMS
2155,Assigned by CCAMS
2156,Assigned by CCAMS
2157,Assigned by CCAMS
2158,Assigned by CCAMS
2159,Assigned by CCAMS
2160,Assigned by CCAMS
2161,Assigned by CCAMS
2162,Assigned by CCAMS
2163,Assigned by CCAMS
2164,Assigned by CCAMS
2165,Assigned by CCAMS
2166,Assigned by CCAMS
2167,Assigned by CCAMS
2168,Assigned by CCAMS
2169,Assigned by CCAMS
2170,Assigned by CCAMS
2171,Assigned by CCAMS
2172,Assigned by CCAMS
2173,Assigned by CCAMS
2174,Assigned by CCAMS
2175,Assigned by CCAMS
2176,Assigned by CCAMS
2177,Assigned by CCAMS
2200,HQ Air Command (See note 15)
2201,Assigned by CCAMS
2202,Assigned by CCAMS
2203,Assigned by CCAMS
2204,Assigned by CCAMS
2205,Assigned by CCAMS
2206,Assigned by CCAMS
2207,Assigned by CCAMS
2208,Assigned by CCAMS
2209,Assigned by CCAMS
2210,Assigned by CCAMS
2211,Assigned by CCAMS
2212,Assigned by CCAMS
2213,Assigned by CCAMS
2214,Assigned by CCAMS
2215,Assigned by CCAMS
2216,Assigned by CCAMS
2217,Assigned by CCAMS
2218,Assigned by CCAMS
2219,Assigned by CCAMS
2220,Assigned by CCAMS
2221,Assigned by CCAMS
2222,Assigned by CCAMS
2223,Assigned by CCAMS
2224,Assigned by CCAMS
2225,Assigned by CCAMS
2226,Assigned by CCAMS
2227,Assigned by CCAMS
2228,Assigned by CCAMS
2229,Assigned by CCAMS
2230,Assigned by CCAMS
2231,Assigned by CCAMS
2232,Assigned by CCAMS
2233,Assigned by CCAMS
2234,Assigned by CCAMS
